No,Habitat,Site ,ID,Date,Total ,Anthro,Moss ,Feather,Wool/Hair,Arthropod,Red,White,Yellow,Green,Blue,Black,orange
32,Rural,Cashel,405,28/06/2023,21.173,0.001,9.997,0.932,4.286,7,0,1,0,0,0,0,0
33,Rural,Sallochy,224,27/06/2023,18.285,0.001,14.288,0.305,1.213,2,0,1,0,0,0,0,0
34,Rural,Sallochy,225,27/06/2023,20.186,0.001,13.902,0.035,4.571,32,0,0,1,0,0,0,0
35,Rural,Cashel,425,28/06/2023,24.058,0,20.024,1.841,1.739,4,0,0,0,0,0,0,0
36,Urban,St Mungo,614,23/06/2023,12.993,0.006,11.608,0.828,0.342,0,1,1,0,0,0,0,0
37,Urban,St Mungo,611,23/06/2023,10.29,0,7.391,1.345,0,3,0,0,0,0,0,0,0
38,Urban,OSP,633,23/06/2023,12.727,0.386,4.83,7.017,0.001,1,1,1,1,0,0,0,1
39,Urban,Garsgube,723,22/06/2023,19.169,0.281,14.586,1.376,0.862,35,1,0,1,0,1,0,0
40,Urban,St Mungo,606,23/06/2023,32.343,7.897,21.124,1.009,1.416,3,0,1,0,0,0,0,0
41,Urban,Garsgube,721,22/06/2023,17.834,0.001,15.295,2.104,0.171,2,0,1,0,0,0,0,0
42,Urban,GCU,659,20/06/2023,22.878,0.043,10.657,0.936,7.337,0,1,1,0,0,1,1,1
43,Urban,Dawsholm,743,21/06/2023,29.392,0.501,23.136,0.517,3.212,3,1,0,1,1,0,0,0
44,Urban,Dawsholm,744,21/06/2023,28.229,0.634,18.736,1.774,3.441,8,1,1,1,0,0,0,1
45,Urban,Dawsholm,746,21/06/2023,32.892,3.664,14.81,1.34,11.436,7,1,0,1,1,1,0,0
46,Urban,Garsgube,717,22/06/2023,17.192,1.682,6.826,1.37,1.931,5,1,1,1,0,0,0,0
47,Urban,GCU,647,20/06/2023,12.588,0.723,8.25,0.828,2.202,2,0,1,1,0,0,0,0
48,Urban,GCU,652,20/06/2023,20.125,0.224,13.124,1.613,2.496,3,0,1,0,0,0,0,0
49,Urban,Dawsholm,750,21/06/2023,26.623,3.811,15.172,1.428,0.904,0,1,1,1,1,1,1,0
50,Urban,GCU,653,20/06/2023,17.286,4.176,8.403,1.897,0.391,1,1,1,1,0,0,0,0
51,Urban,Garsgube,706,22/06/2023,17.365,0.468,15.096,0.129,0.088,1,1,1,1,1,0,1,1
52,Urban,Garsgube,701,22/06/2023,17.677,0.157,9.413,1.003,1.456,22,0,1,0,0,0,0,0
53,Urban,GCU,645,20/06/2023,19.883,0.487,10.928,0.7,2.117,11,1,1,0,0,0,0,0
54,Urban,Garsgube,716,22/06/2023,21.103,1.042,10.45,1.068,3.783,1,1,1,1,0,0,0,0
55,Urban,Garsgube,733,22/06/2023,18.899,0.994,8.953,0.824,4.435,3,0,1,0,0,0,1,0
56,Urban,Kelvingroove ,511,17/07/2023,10.927,0,10.319,0.01,0.001,3,0,0,0,0,0,0,0
57,Urban,Kelvingroove ,524,17/07/2023,23.064,0.033,12.888,0.302,9.079,3,1,0,1,0,0,0,0
58,Urban,Kelvingroove ,510,17/07/2023,30.721,0.397,18.663,0.774,8.154,4,0,0,1,0,0,0,0
59,Urban,Kelvingroove ,541,17/07/2023,19.193,0.445,12.294,1.255,4.345,4,0,1,1,1,1,0,0
60,Urban,Kelvingroove ,525,17/07/2023,24.073,0.34,15.889,1.892,4.786,0,1,0,1,0,0,0,0
61,Urban,Kelvingroove ,501,17/07/2023,15.735,0,15.983,0.11,0.001,1,0,0,0,0,0,0,0
62,Urban,Kelvingroove ,535,17/07/2023,24.26,0.55,11.886,0.427,8.808,2,1,1,0,0,0,0,0
63,Urban,Kelvingroove ,577,17/07/2023,30.016,0.464,16.984,1.668,1.725,1,1,1,1,0,0,0,0
64,Urban,Kelvingroove ,545,17/07/2023,26.601,0.125,10.811,0.797,6.903,4,1,1,1,0,0,0,0
65,Urban,Kelvingroove ,550,17/07/2023,35.523,0.001,12.285,1.515,4.332,11,0,0,0,1,0,0,0
66,Urban,Kelvingroove ,505,17/07/2023,23.903,0.001,13.502,0.265,3.571,65,0,1,0,0,0,0,0
67,Urban,Kelvingroove ,551,17/07/2023,18.378,0.213,10.321,1.705,1.408,1,1,1,1,0,1,0,0
68,Urban,Kelvingroove ,526,17/07/2023,17.851,0.428,12.005,0.551,3.028,2,1,1,1,0,0,0,0
69,Urban,Kelvingroove ,527,17/07/2023,18.107,0.221,8.494,1.343,4.426,6,1,1,0,0,0,1,0
70,Urban,Kelvingroove ,534,17/07/2023,37.012,0,28.156,0.455,1.871,4,0,0,0,0,0,0,0
